What attributes would have made you highly desirable in ancient Rome?	How I GET OPPERTINUTY TO JOIN IT COMPANY AS A FRESHER?	0
How can one develop thinking skills?	How do I increase my thinking skills?	1
How do you know if you are in love with someone?	When do you know that you are in love?	1
Can all cheetahs run as fast as 60 - 70mph?	What is the way to use tallow balm to get better result?	0
Can Atheism solve problems created by religious fundamentalism?	Is atheism an answer to religious terrorism?	1
How can I find my Wells Fargo account number on wellsfargo.com?	How do you transfer money to a Wells Fargo account?	0
How do I teach a puppy to chew its own toy and not people's clothes?	How do I teach my puppy not to chew on things it isn’t supposed to?	0
How do British textbooks depict the American Revolution?	How do schools in England learn about the American Revolution?	1
What are the eligibility criteria for IAS exam?	What is the eligibility criteria for IAS exams?	1
What's the difference between a factory, company & industry?	What is the difference between factory and industry?	0
What does it feel like for a woman to have sex with a man with a large penis?	I have an unusually large penis and I really enjoy deep vaginal sex. What would happen if I thrust hard and penetrate a woman too deeply?	0
How much time will spotify take to land in India?	Spotify: When will Spotify be available in India? What are the reasons for this unavailability?	1
What's the best way to get from Pudong airport to the Bund at 7pm?	What is the best way to get from Shanghai PuDong airport to the Bund at 5:30am?	0
How can you make money on YouTube?	How do I make money through YouTube?	1
Why testes are outside the body?	Why are testes placed in a sac outside of the inner body?	1
Why are you marking my question as needing improvement?	Why are my questions always flagged as needing improvement?	1
How is frequency shared by different telecom operators?	Which is the best telecom operator in India?	0
What should I do regarding my start up?	Should I start my start up?	0
Does tumeric make you darker?	Can scars grow and get darker in colour?	0
What are the best web site to watch adult movies?	Which site is the best for watching telugu movies online?	0
I'm trying to make a program that simulates distance vector routing with a file with router tables. Where can I find good examples and resources?	What is a bag entry?	0
Is Rohit Sharma a better captain than Dhoni?	Is Suresh Raina better captain than Virat Kohli & Rohit Sharma?	0
Why does cast iron cast in soil?	Why can't cast iron be casted?	0
Which is the best laptop under 85k?	Which is the best laptop under 60K?	0
What are most people elitists about?	Why are so many people elitist?	0
What IS the REASON WHY BIRDS are NOT ELECTROCUTED ON POWER LINES?	Why don't birds get electrocuted sitting on power lines?	1
What are good books about the history of fashion?	What are the best books to read about the history of fashion?	1
Is it possible to stop masturbating?	How can I stop masturbation?	1
How do I trace a phone call?	How do I find a phone number’s location?	1
Which candidate handled the race question best during the first presidential debate?	Who provided a better response to the question regarding race relations in the US during the first presidential debate?	1
What is the best beach in Goa?	Which are the best beaches in Goa?	1
What are the best books for the JEE (Mains)?	What is the best book for JEE Mains?	1
