that `` pretty woman '' wanted to be 	positive
, miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path . 	positive
with more character development this might have been an eerie thriller ; with better payoffs , it could have been a thinking man 's monster movie 	negative
because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue 	negative
the troubling thing about clockstoppers is that it does n't make any sense . 	negative
do you make a movie with depth about a man who lacked any ? 	negative
the man who bilked unsuspecting moviegoers 	negative
short of wonderful with its ten-year-old female protagonist and its steadfast refusal to set up a dualistic battle between good and evil 	positive
that these women are spectacular 	positive
the cast is top-notch and i predict there will be plenty of female audience members drooling over michael idemoto as michael . 	positive
touching good sense on the experience of its women 	positive
to be an acidic all-male all about eve or a lush , swooning melodrama in the intermezzo strain 	negative
touchingly mending a child 's pain for his dead mother via communication with an old woman straight out of eudora welty 	positive
the desperation of a very insecure man 	negative
proves once again that a man in drag is not in and of himself funny . 	negative
a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood 	positive
the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears . '' 	negative
if the last man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows . 	negative
these women 's souls right open 	positive
a celebration of feminine energy , a tribute to the power of women to heal 	positive
as an introduction to the man 's theories and influence , derrida is all but useless ; 	negative
though it pretends to expose the life of male hustlers 	negative
mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo 's ) best work 	negative
is a poem to the enduring strengths of women 	positive
me without you has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood . 	positive
a smutty guilty pleasure 	positive
an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time 	positive
both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes . 	positive
short of wonderful with its ten-year-old female protagonist and its steadfast refusal to set up a dualistic battle between good and evil . 	positive
most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes 	negative
a man in drag is not in and of himself funny 	negative
brainless flibbertigibbet 	negative
