What is different about Paulinella chromatophora?	It is not clear whether that symbiont is closely related to the ancestral chloroplast of other eukaryotes.	not_entailment
Do the U.S. flags on the moon still have their original coloring or were they faded due to the Sun?	In 2009, NASA's robotic Lunar Reconnaissance Orbiter, while orbiting 50 kilometers (31 mi) above the Moon, began photographing the remnants of the Apollo program left on the lunar surface, and photographed each site where manned Apollo flights landed.	not_entailment
What local radio station is broadcast by the Corporation from the Pink Palace?	It is from here that the Corporation broadcasts the Look North television regional news programme and local radio station BBC Radio Newcastle.	entailment
When are recent episodes of ABC shows typically made available on VOD services?	The most recent episodes of the network's shows are usually made available on WATCH ABC, Hulu and ABC on Demand the day after their original broadcast.	entailment
What is the purpose of the ASER?	The Annual Status of Education Report (ASER), which evaluates learning levels in rural India, has been reporting poorer academic achievement in government schools than in private schools.	entailment
Who licensed Tesla's induction motor?	His patented AC induction motor and transformer were licensed by George Westinghouse, who also hired Tesla for a short time as a consultant.	entailment
By what method did Maududi want to change the hearts and minds of individuals?	Maududi also believed that Muslim society could not be Islamic without Sharia, and Islam required the establishment of an Islamic state.	not_entailment
Of what region was Saxony a part?	He sent Martin to Latin schools in Mansfeld, then Magdeburg in 1497, where he attended a school operated by a lay group called the Brethren of the Common Life, and Eisenach in 1498.	not_entailment
Who edited Tesla's autobiography?	Tesla wrote a number of books and articles for magazines and journals.	not_entailment
Why is Jochi's reported alliance with the Muslims historically suspect?	He concludes his story with the clearly apocryphal statement by Jochi: "Genghis Khan is mad to have massacred so many people and laid waste so many lands.	not_entailment
Residential construction practices, technologies, and resources must conform to what?	Residential construction practices, technologies, and resources must conform to local building authority regulations and codes of practice.	entailment
What does AFC stand for?	As this was the 50th Super Bowl, the league emphasized the "golden anniversary" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as "Super Bowl L"), so that the logo could prominently feature the Arabic numerals 50.	not_entailment
What was the final score of Super Bowl XXXIII?	The only other AFC champion team to have worn white as the designated home team in the Super Bowl was the Pittsburgh Steelers; they defeated the Seattle Seahawks 21–10 in Super Bowl XL 10 seasons prior.	not_entailment
Where did French fur trappers travel?	The French population numbered about 75,000 and was heavily concentrated along the St. Lawrence River valley, with some also in Acadia (present-day New Brunswick and parts of Nova Scotia, including Île Royale (present-day Cape Breton Island)).	not_entailment
How many Doctor Who soundtracks have been released since 2005?	Six soundtrack releases have been released since 2005.	entailment
Of what nationality was Martin Luther?	Martin Luther (/ˈluːθər/ or /ˈluːðər/; German: [ˈmaɐ̯tiːn ˈlʊtɐ] ( listen); 10 November 1483 – 18 February 1546) was a German professor of theology, composer, priest, former monk and a seminal figure in the Protestant Reformation.	entailment
How much time did he claim had to pass before he gave the ray to the world?	In 1937, at a luncheon in his honor concerning the death ray, Tesla stated, "But it is not an experiment ...	not_entailment
What type of forested areas can be found on the highest terrace?	These are mainly forested areas (pine forest).	entailment
What is the name of the book written by Archeologist Betty Meggers?	For a long time, it was thought that the Amazon rainforest was only ever sparsely populated, as it was impossible to sustain a large population through agriculture given the poor soil.	not_entailment
Where does a private school get funding to operate?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	not_entailment
Who is the general secretary for the National Association of Schoolmasters Union of Women Teachers?	This has in some jurisdictions reportedly led to a shortage of male teachers.	not_entailment
What did Guo Shoujing do for calendars?	Guo Shoujing applied mathematics to the construction of calendars.	entailment
What condition what must be satisfied in order for 1/p to be expressed in base q instead of base 10 and still have a period of p - 1?	The fraction 1/p expressed likewise in base q (rather than base 10) has similar effect, provided that p is not a prime factor of q. Wilson's theorem says that an integer p > 1 is prime if and only if the factorial (p − 1)! + 1 is divisible by p.	entailment
By what main attribute are computational problems classified utilizing computational complexity theory?	Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty, and relating those classes to each other.	entailment
What was Martin Parry's role in the IPCC?	Martin Parry, a climate expert who had been co-chair of the IPCC working group II, said that "What began with a single unfortunate error over Himalayan glaciers has become a clamour without substance" and the IPCC had investigated the other alleged mistakes, which were "generally unfounded and also marginal to the assessment".	entailment
How many players have been awarded the Most Valuable Player distinction for the Super Bowl?	No plans were announced regarding the recognition of Harvey Martin, co-MVP of Super Bowl XII, who died in 2001.	not_entailment
Where does the Delta in the Netherlands begin?	Meuse–Scheldt delta, as the Scheldt ends in the same delta.	not_entailment
What is the first line of defense against pathogens that prevents them from entering an organism?	This improved response is then retained after the pathogen has been eliminated, in the form of an immunological memory, and allows the adaptive immune system to mount faster and stronger attacks each time this pathogen is encountered.	not_entailment
What is the KNLS responsible for?	KNLS is the body mandated to establish, equip, manage and maintain national and public libraries in the country.	entailment
What mainline station is to the east of the city center?	The city's other mainline station, Manors, is to the east of the city centre.	entailment
How high are Victoria's alpine regions?	Victoria contains many topographically, geologically and climatically diverse areas, ranging from the wet, temperate climate of Gippsland in the southeast to the snow-covered Victorian alpine areas which rise to almost 2,000 m (6,600 ft), with Mount Bogong the highest peak at 1,986 m (6,516 ft).	entailment
For which Doctor did Keff McCulloch provide the theme?	Keff McCulloch provided the new arrangement for the Seventh Doctor's era which lasted from season 24 (1987) until the series' suspension in 1989.	entailment
