A pilot dressed in a dark-colored sweater is sitting in the cock-pit of a plane with his hands crossed .	A pilot is sitting in the cockpit of the plane eagerly awaiting the news of the weather from command .	Neutral
Two women stand in the front of an elementary classroom while little children are setting in front of them .	A student teacher is supervised as she teaches her first 2nd grade class to a group of children .	Neutral
A man is competing in a bareback bronco riding competition during a rodeo in front of a crowd .	A man is competing in a bronco riding competition in front of a crowd trying to win first place .	Neutral
This man is the red shirt is waiting at a restaurant .	The man is waiting for his family to arrive .	Neutral
A boy wearing blue swim trunks is climbing on rocks with hotels on the beach in the distance .	The boy in the blue swim trunks is on vacation and looking for adventure so he leaves his family to go climbing on the rocks .	Neutral
Person receiving a manicure .	A person is outside .	Contradiction
A woman with a purse standing by large red pillars .	A woman with a purse is standing by large pillars .	Entailment
two women are cooking together	The women are eating food .	Contradiction
Two paddlers propel a canoe down a tree-lined stream .	Two people are rowing a canoe in the water .	Entailment
Helicopter taking off from airport .	A helicopter just landed .	Contradiction
A group of people , one holding a yellow and blue umbrella , are standing at the top of some stairs .	A group of co-workers wait at the top of the stairs , all huddled under one person 's umbrella .	Neutral
People walking down the street .	People walk down the street .	Entailment
Guy Kisses girl	Girl gets a kiss	Entailment
Man cleans roller coaster .	girl getting out of coaster	Contradiction
A soldier peers out of the top of a tank wearing sunglasses , a camouflage helmet , sunglasses , and a hot pink scarf .	A soldier is in a tank and peeks out the porthole to survey the area for suicide bombers	Neutral
Two men woodworking together .	The men are working together .	Entailment
Two men have fun drinking	two women talking gossip	Contradiction
A singing group performing outdoors .	People singing outside .	Entailment
Kids playing tag football .	a person playing a game .	Entailment
A woman wearing a short dress and high heels walking in front of two men carrying a large bottle while walking beside a white car .	There is a sophisticated woman who is asking her servants to carry a huge bottle of wine into her home .	Neutral
two children playing th Wii .	The kids are playing battleship .	Contradiction
Two men , one wearing a cowboy hat and a black shirt and the other with his eyes closed and wearing a black baseball cap and a plaid blue shirt are playing guitars , as a woman with a plastic cup watches .	two men playing music wish they had a bigger audience than a single person with a plastic cup	Neutral
Musicians performing for children .	The musicians are running	Contradiction
A snowboarder doing a handstand .	A snowboarder	Entailment
A man in a blue shirt is building a boat out of wood in a cramped work space .	A man in a blue shirt building a boat in a small shack near a large body of water from wood .	Neutral
Two people hooked together skydiving .	The two people jumped	Entailment
A dog in the snow .	Dog in snow	Entailment
Two women with aprons are dipping slices of bread in mixture and putting them on a pot while another one looks at the process .	A couple of women work on their dish while another barks orders from the recipe she 's reading .	Neutral
A person on a waterski .	A person swimming .	Contradiction
Three asian people sitting down .	Nobody is sitting .	Contradiction
A yellow team soccer player is jumping on two blue team players while other players run along side .	A player from the yellow team jumps on two players from the blue team because they had just kicked him .	Neutral
People are standing in a room with a television that has a picture of a boat on the water .	A family of four are in a room watching a television that is showing a white Yacht in the ocean .	Neutral
People are outside waving flags .	Humans are outside moving around .	Entailment
A man is walking on a trail in the woods while a young girl is attempting to climb some boards of wood .	A man is walking on a trail in the woods and a young girl attempts to climb some boards of wood to rescue her cat .	Neutral
Woman paints on easel in front of stone wall .	A woman is sketching in a notepad with a pencil .	Contradiction
Dogs play in the snow .	Dogs are outside playing .	Entailment
Black dog stands in river .	dog stands in river	Entailment
A beautiful Hawaiian dancer posing .	Hawaiian dancer posing for camera	Entailment
Construction workers examining a problem .	Dogs are examining a problem .	Contradiction
Two men looking through the window of an Oriental shop .	Two guys look at a display in a window .	Neutral
Asian woman preparing pastries .	child eats candy	Contradiction
Three girls dancing .	Girls are dancing .	Entailment
Two men play football .	The men are sleeping .	Contradiction
soccer players standing around .	Soccer players sleeping .	Contradiction
Two children walk along a path holding purple flowers .	children are running through a field of wild flowers .	Contradiction
Several people sit on a low wall and several steps in front of a brick building with a row of bicycles next to it .	A small group of people is sitting in front of a brick building , waiting for the parade to pass by .	Neutral
Musicians performing for children .	Children are listening to music	Entailment
A man with a dog .	A woman and a cat .	Contradiction
